sport,home_team,away_team,h_score,a_score,time
MLB,New York Yankees,Atlanta Braves,1.129073937733968,1.129073937733968,01:35:00PM
MLB,Pittsburgh Pirates,Tampa Bay Rays,1.129073937733968,1.129073937733968,01:35:00PM
MLB,Cincinnati Reds,Boston Red Sox,1.129073937733968,1.129073937733968,01:40:00PM
MLB,Cleveland Guardians,Toronto Blue Jays,1.129073937733968,1.129073937733968,01:40:00PM
MLB,Detroit Tigers,Chicago White Sox,1.129073937733968,1.129073937733968,01:40:00PM
MLB,Miami Marlins,Seattle Mariners,1.129073937733968,1.129073937733968,01:40:00PM
MLB,Houston Astros,Baltimore Orioles,1.129073937733968,1.129073937733968,02:10:00PM
MLB,St. Louis Cardinals,San Francisco Giants,1.129073937733968,1.129073937733968,02:15:00PM
MLB,Texas Rangers,Kansas City Royals,1.129073937733968,1.129073937733968,02:35:00PM
MLB,Colorado Rockies,Washington Nationals,1.129073937733968,1.129073937733968,03:10:00PM
MLB,Oakland Athletics,Minnesota Twins,1.129073937733968,1.129073937733968,04:07:00PM
MLB,San Diego Padres,Milwaukee Brewers,1.129073937733968,1.129073937733968,04:10:00PM
MLB,Chicago Cubs,New York Mets,1.129073937733968,1.129073937733968,07:00:00PM
MLB,Philadelphia Phillies,Arizona Diamondbacks,1.129073937733968,1.129073937733968,11:36:05AM
